source_type,source_id,relation,target_type,target_id,detail,evidence_file,evidence_page
organization,og0015,awarded contract to,company,co0017,33055372.458,Contract_Awards_PDFs/Tender_1008544.pdf,1
person,pp0010,approved award,tender,1008544,Project Director,Contract_Awards_PDFs/Tender_1008544.pdf,1
organization,og0015,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1008544.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1008544.pdf,1
tender,1008544,belongs to project,project,pr0009,,Contract_Awards_PDFs/Tender_1008544.pdf,1
company,co0005,was awarded,tender,1008545,12899794.769,Contract_Awards_PDFs/Tender_1008545.pdf,1
organization,og0015,awarded contract to,company,co0005,12899794.769,Contract_Awards_PDFs/Tender_1008545.pdf,1
person,pp0010,approved award,tender,1008545,Project Director,Contract_Awards_PDFs/Tender_1008545.pdf,1
organization,og0015,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1008545.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1008545.pdf,1
tender,1008545,belongs to project,project,pr0009,,Contract_Awards_PDFs/Tender_1008545.pdf,1
company,co0018,was awarded,tender,1008546,6253553.025,Contract_Awards_PDFs/Tender_1008546.pdf,1
organization,og0015,awarded contract to,company,co0018,6253553.025,Contract_Awards_PDFs/Tender_1008546.pdf,1
person,pp0010,approved award,tender,1008546,Project Director,Contract_Awards_PDFs/Tender_1008546.pdf,1
organization,og0015,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1008546.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1008546.pdf,1
tender,1008546,belongs to project,project,pr0009,,Contract_Awards_PDFs/Tender_1008546.pdf,1
company,co0013,was awarded,tender,1008547,19700193.771,Contract_Awards_PDFs/Tender_1008547.pdf,1
organization,og0015,awarded contract to,company,co0013,19700193.771,Contract_Awards_PDFs/Tender_1008547.pdf,1
person,pp0010,approved award,tender,1008547,Project Director,Contract_Awards_PDFs/Tender_1008547.pdf,1
organization,og0015,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1008547.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1008547.pdf,1
tender,1008547,belongs to project,project,pr0009,,Contract_Awards_PDFs/Tender_1008547.pdf,1
company,co0019,was awarded,tender,1008548,27870506.235,Contract_Awards_PDFs/Tender_1008548.pdf,1
organization,og0015,awarded contract to,company,co0019,27870506.235,Contract_Awards_PDFs/Tender_1008548.pdf,1
person,pp0010,approved award,tender,1008548,Project Director,Contract_Awards_PDFs/Tender_1008548.pdf,1
organization,og0015,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1008548.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1008548.pdf,1
tender,1008548,belongs to project,project,pr0009,,Contract_Awards_PDFs/Tender_1008548.pdf,1
company,co0020,was awarded,tender,1009276,591311.129,Contract_Awards_PDFs/Tender_1009276.pdf,1
organization,og0017,awarded contract to,company,co0020,591311.129,Contract_Awards_PDFs/Tender_1009276.pdf,1
person,pp0011,approved award,tender,1009276,Assistant Programmer,Contract_Awards_PDFs/Tender_1009276.pdf,1
organization,og0017,part of,organization,og0016,,Contract_Awards_PDFs/Tender_1009276.pdf,1
organization,og0016,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1009276.pdf,1
tender,1009276,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1009276.pdf,1
company,co0021,was awarded,tender,1010247,1111999.960,Contract_Awards_PDFs/Tender_1010247.pdf,1
organization,og0018,awarded contract to,company,co0021,1111999.960,Contract_Awards_PDFs/Tender_1010247.pdf,1
person,pp0012,approved award,tender,1010247,Executive Engineer (M),Contract_Awards_PDFs/Tender_1010247.pdf,1
organization,og0018,part of,organization,og0016,,Contract_Awards_PDFs/Tender_1010247.pdf,1
organization,og0016,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1010247.pdf,1
tender,1010247,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1010247.pdf,1
company,co0022,was awarded,tender,101083,3963689.307,Contract_Awards_PDFs/Tender_101083.pdf,1
organization,og0019,awarded contract to,company,co0022,3963689.307,Contract_Awards_PDFs/Tender_101083.pdf,1
person,pp0008,approved award,tender,101083,Project Director,Contract_Awards_PDFs/Tender_101083.pdf,1
organization,og0019,part of,organization,og0009,,Contract_Awards_PDFs/Tender_101083.pdf,1
organization,og0009,part of,organization,og0001,,Contract_Awards_PDFs/Tender_101083.pdf,1
tender,101083,belongs to project,project,pr0010,,Contract_Awards_PDFs/Tender_101083.pdf,1
company,co0023,was awarded,tender,1011370,39498314.463,Contract_Awards_PDFs/Tender_1011370.pdf,1
organization,og0015,awarded contract to,company,co0023,39498314.463,Contract_Awards_PDFs/Tender_1011370.pdf,1
person,pp0010,approved award,tender,1011370,Project Director,Contract_Awards_PDFs/Tender_1011370.pdf,1
organization,og0015,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1011370.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1011370.pdf,1
tender,1011370,belongs to project,project,pr0009,,Contract_Awards_PDFs/Tender_1011370.pdf,1
company,co0024,was awarded,tender,1013009,1220698.956,Contract_Awards_PDFs/Tender_1013009.pdf,1
organization,og0018,awarded contract to,company,co0024,1220698.956,Contract_Awards_PDFs/Tender_1013009.pdf,1
person,pp0012,approved award,tender,1013009,Executive Engineer (M),Contract_Awards_PDFs/Tender_1013009.pdf,1
organization,og0018,part of,organization,og0016,,Contract_Awards_PDFs/Tender_1013009.pdf,1
organization,og0016,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1013009.pdf,1
