date,event,tender_id,entity,original,source_file,page
2025-06-24,tender valid until,1058291,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,24-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1058291.pdf,1
2025-06-24,tender valid until,1058292,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,24-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1058292.pdf,1
2025-06-24,tender valid until,1058293,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,24-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1058293.pdf,1
2025-06-24,pre-tender meeting ends,1123494,Superintending Engineer (Civil Circle-1),24-Jun-2025 17:00,Tender Notice_PDFs/RAJUK_Tender_1123494.pdf,1
2025-06-24,pre-tender meeting ends,1124881,Superintending Engineer (Civil Circle-1),24-Jun-2025 17:00,Tender Notice_PDFs/RAJUK_Tender_1124881.pdf,1
2025-06-25,contract work completes,1023060,Gess Bangladesh,25-Jun-2025,Contract_Awards_PDFs/Tender_1023060.pdf,1
2025-06-25,tender valid until,1069558,Purbachal New Town Project,25-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1069558.pdf,1
2025-06-25,tender valid until,1069559,Purbachal New Town Project,25-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1069559.pdf,1
2025-06-25,tender valid until,1069560,Purbachal New Town Project,25-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1069560.pdf,1
2025-06-25,contract work completes,1119438,M/S Modhumati Construction,25-Jun-2025,Contract_Awards_PDFs/Tender_1119438.pdf,1
2025-06-25,last day to buy the document,1124277,Project Director(Elevated ExpressWay),25-Jun-2025 16:00,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1
2025-06-26,tender valid until,1060892,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060892.pdf,1
2025-06-26,tender valid until,1060893,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060893.pdf,1
2025-06-26,tender valid until,1060894,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060894.pdf,1
2025-06-26,tender valid until,1060895,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060895.pdf,1
2025-06-26,tender valid until,1066944,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1066944.pdf,1
2025-06-26,tender valid until,1066945,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1066945.pdf,1
2025-06-26,tender valid until,1066946,Purbachal New Town Project,26-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1066946.pdf,1
2025-06-26,pre-tender meeting ends,1117569,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",26-Jun-2025 12:00,Tender Notice_PDFs/RAJUK_Tender_1117569.pdf,1
2025-06-26,pre-tender meeting ends,1123107,"Project Director(M.Uddin), Chittagong Development Authority",26-Jun-2025 16:00,Tender Notice_PDFs/CDA_Tender_1123107.pdf,1
2025-06-26,bid submission closes,1124277,Project Director(Elevated ExpressWay),26-Jun-2025 16:00,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1
2025-06-26,bids opened,1124277,Project Director(Elevated ExpressWay),26-Jun-2025 16:00,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1
2025-06-26,last day for bid security,1124277,Project Director(Elevated ExpressWay),26-Jun-2025 12:30,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1
2025-06-26,contract work completes,909196,MS TECHNOLOGIES LIMITED,26-Jun-2025,Contract_Awards_PDFs/Tender_909196.pdf,1
2025-06-26,contract work completes,948434,Momotaj Engineers Ltd.,26-Jun-2025,Contract_Awards_PDFs/Tender_948434.pdf,1
2025-06-27,tender valid until,1071058,Purbachal New Town Project,27-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1071058.pdf,1
2025-06-27,tender valid until,1071059,Purbachal New Town Project,27-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1071059.pdf,1
2025-06-29,contract work completes,1044320,M/S. Niaz Traders,29-Jun-2025,Contract_Awards_PDFs/Tender_1044320.pdf,1
2025-06-29,contract work completes,1060895,"TCEL TE JV ( JVCA Partners [Business Share]: THE CIVIL ENGINEERS LIMITED [50.000%] , M/S TAJEEM ENTERPRISE [50.000%] )",29-Jun-2025,Contract_Awards_PDFs/Tender_1060895.pdf,1
2025-06-29,contract work completes,1072723,Intimacy Computer & Solutions,29-Jun-2025,Contract_Awards_PDFs/Tender_1072723.pdf,1
2025-06-29,contract work completes,1094618,The United Construction Co.,29-Jun-2025,Contract_Awards_PDFs/Tender_1094618.pdf,1
2025-06-29,contract work completes,1121584,S.A.K. ENTERPRISE,29-Jun-2025,Contract_Awards_PDFs/Tender_1121584.pdf,1
2025-06-30,contract work completes,1060890,"KSBL-TSE JOINT VENTURE ( JVCA Partners [Business Share]: Khan and Sons (Bangladesh) Limited [51.000%] , T.S Enterprise [49.000%] )",30-Jun-2025,Contract_Awards_PDFs/Tender_1060890.pdf,1
2025-06-30,contract work completes,1060891,M/s Shafique and Sons,30-Jun-2025,Contract_Awards_PDFs/Tender_1060891.pdf,1
2025-06-30,contract work completes,1069558,M/S. A. R. Enterprise,30-Jun-2025,Contract_Awards_PDFs/Tender_1069558.pdf,1
2025-06-30,contract work completes,1069559,M/S. A. R. Enterprise,30-Jun-2025,Contract_Awards_PDFs/Tender_1069559.pdf,1
2025-06-30,contract work completes,1069560,M/S Udayan Builders,30-Jun-2025,Contract_Awards_PDFs/Tender_1069560.pdf,1
2025-06-30,contract work starts,1069560,M/S Udayan Builders,30-Jun-2025,Contract_Awards_PDFs/Tender_1069560.pdf,1
2025-06-30,contract work completes,1069561,AK- Amin Development Co. Limited,30-Jun-2025,Contract_Awards_PDFs/Tender_1069561.pdf,1
2025-06-30,contract work completes,1069562,"M/s. SS & MT (JV) ( JVCA Partners [Business Share]: Monir Engineering And Construction Ltd. [49.000%] , M/S. Sharif & Sons [51.000%] )",30-Jun-2025,Contract_Awards_PDFs/Tender_1069562.pdf,1
2025-06-30,contract work completes,1069564,"SSL- CONVOY JV ( JVCA Partners [Business Share]: CONVOY SERVICE [49.000%] , Starlite Services Limited [51.000%] )",30-Jun-2025,Contract_Awards_PDFs/Tender_1069564.pdf,1
2025-06-30,contract work completes,1071058,HAIDER & CO.,30-Jun-2025,Contract_Awards_PDFs/Tender_1071058.pdf,1
2025-07-01,bid security valid until,1062494,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",01-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1062494.pdf,1
2025-07-01,contract work starts,1081213,Momotaj Engineers Ltd.,01-Jul-2025,Contract_Awards_PDFs/Tender_1081213.pdf,1
2025-07-01,contract work starts,1081271,PROPERTY DEVELOPMENT LIMITED,01-Jul-2025,Contract_Awards_PDFs/Tender_1081271.pdf,1
2025-07-01,contract work starts,1082494,Starlite Services Limited,01-Jul-2025,Contract_Awards_PDFs/Tender_1082494.pdf,1
2025-07-01,contract work starts,1082495,Aliza Enterprise,01-Jul-2025,Contract_Awards_PDFs/Tender_1082495.pdf,1
2025-07-01,contract work starts,1082496,M/S. A. R. Enterprise,01-Jul-2025,Contract_Awards_PDFs/Tender_1082496.pdf,1
2025-07-01,contract work starts,1082525,M/S. Niaz Traders,01-Jul-2025,Contract_Awards_PDFs/Tender_1082525.pdf,1
2025-07-01,contract work starts,1083479,DAFFODIL ELECTRIC COMPANY LIMITED,01-Jul-2025,Contract_Awards_PDFs/Tender_1083479.pdf,1
2025-07-01,contract work starts,1083760,Aliza Enterprise,01-Jul-2025,Contract_Awards_PDFs/Tender_1083760.pdf,1
2025-07-01,contract work starts,1096839,Evergreen Printing press,01-Jul-2025,Contract_Awards_PDFs/Tender_1096839.pdf,1
2025-07-01,contract work starts,1096909,ENOVA COMMUNICATIONS,01-Jul-2025,Contract_Awards_PDFs/Tender_1096909.pdf,1
2025-07-01,contract work starts,1109365,Sohel Engineering & Construction Ltd.,01-Jul-2025,Contract_Awards_PDFs/Tender_1109365.pdf,1
2025-07-01,last day to buy the document,1123494,Superintending Engineer (Civil Circle-1),01-Jul-2025 15:00,Tender Notice_PDFs/RAJUK_Tender_1123494.pdf,1
2025-07-01,last day to buy the document,1124881,Superintending Engineer (Civil Circle-1),01-Jul-2025 17:00,Tender Notice_PDFs/RAJUK_Tender_1124881.pdf,1
2025-07-02,tender valid until,1062628,Office of the Superintending Engineer (Mechanical),02-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1062628.pdf,1
2025-07-02,tender valid until,1069561,Purbachal New Town Project,02-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1069561.pdf,1
2025-07-02,tender valid until,1069562,Purbachal New Town Project,02-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1069562.pdf,1
2025-07-02,tender valid until,1069563,Purbachal New Town Project,02-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1069563.pdf,1
2025-07-02,tender valid until,1069564,Purbachal New Town Project,02-Jul-2025,Tender Notice_PDFs/RAJUK_Tender_1069564.pdf,1
2025-07-02,last day to buy the document,1123107,"Project Director(M.Uddin), Chittagong Development Authority",02-Jul-2025 15:30,Tender Notice_PDFs/CDA_Tender_1123107.pdf,1
2025-07-02,bid submission closes,1123494,Superintending Engineer (Civil Circle-1),02-Jul-2025 15:00,Tender Notice_PDFs/RAJUK_Tender_1123494.pdf,1
2025-07-02,bids opened,1123494,Superintending Engineer (Civil Circle-1),02-Jul-2025 15:00,Tender Notice_PDFs/RAJUK_Tender_1123494.pdf,1
2025-07-02,last day for bid security,1123494,Superintending Engineer (Civil Circle-1),02-Jul-2025 14:30,Tender Notice_PDFs/RAJUK_Tender_1123494.pdf,1
