id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices,awards,total_contract_value_taka,project_codes_printed,procuring_entities,tender_ids
pr0082,"The Father of the Nation Bangabandu Sheikh Mujibur Rahman Square, at Talaimary Chattar, Rajshahi (1st Revised).",THE FATHER OF THE NATION BANGABANDU SHEIKH MUJIBUR RAHMAN SQUARE AT TALAIMARY CHATTAR RAJSHAHI 1ST REVISED,,1,charged an awarded contract;charged a tender notice,7,Contract_Awards_PDFs/Tender_859008.pdf,1,,4,3,110053881.47,13201-01-224145400,Office of the Chairman,859008;935036;935037;941590
pr0083,Beautification & Modernization of Shahid Captain Munsur Ali Park and Development of Parijat Lake.,BEAUTIFICATION MODERNIZATION OF SHAHID CAPTAIN MUNSUR ALI PARK AND DEVELOPMENT OF PARIJAT LAKE,,1,charged an awarded contract;charged a tender notice,11,Contract_Awards_PDFs/Tender_860822.pdf,1,,8,3,63065223.729,224332700,Office of the Chairman | Office of the Project Director,675266;860822;860823;860824;880238;929618;941511;984364
pr0084,Lift Purchase,LIFT PURCHASE,,1,charged an awarded contract;charged a tender notice,5,Contract_Awards_PDFs/Tender_888738.pdf,1,,3,2,49178786.509,Lift/2022-23,Office of the Superintending Engineer (Electrical),832070;888738;936248
pr0085,Third Primary Education Development Program(PEDP-3)(DPHE Part),THIRD PRIMARY EDUCATION DEVELOPMENT PROGRAM PEDP 3 DPHE PART,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_89768.pdf,1,,1,1,2729526.828,8208,"Office of the Executive Engineer DPHE, (DPHE) Lakshmipur | Office of the Executive Engineer DPHE, Lakshmipur",89768
pr0086,CDA Mehedibag Shishukanon Kindergarten School,CDA MEHEDIBAG SHISHUKANON KINDERGARTEN SCHOOL,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_91142.pdf,1,,1,1,17986218.291,,Project Director(Shishukanon),91142
pr0087,Zonal Office Development at Different Location.,ZONAL OFFICE DEVELOPMENT AT DIFFERENT LOCATION,,1,charged an awarded contract;charged a tender notice,3,Contract_Awards_PDFs/Tender_926623.pdf,1,,2,1,4722959.142,RAJUK-IMP-ZOD,Office of the Chief Engineer (Implementation) | Superintending Engineer (Civil Circle-2),251214;926623
pr0088,Widening and Development of Important Roads of Chattogram City Cluster Project-1,WIDENING AND DEVELOPMENT OF IMPORTANT ROADS OF CHATTOGRAM CITY CLUSTER PROJECT 1,Widening and Development of Important Roads of Chattogram City Cluster Project- 1,2,charged an awarded contract;charged a tender notice,3,Contract_Awards_PDFs/Tender_959962.pdf,1,,2,1,100790743.232,13201-01-22430089700,Construction Division-2,1036609;959962
pr0089,Cox's Bazar Development Authority Residential Flat Project-1,COX S BAZAR DEVELOPMENT AUTHORITY RESIDENTIAL FLAT PROJECT 1,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_971720.pdf,1,,1,1,174971612.328,932000050,"Office of the Project Director, CoxDA Residential Flat Project-1",971720
pr0090,Widening of Road from court to Rajshahi Bypass Road(1st REVISED),WIDENING OF ROAD FROM COURT TO RAJSHAHI BYPASS ROAD 1ST REVISED,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_98996.pdf,1,,1,1,356723044.2,9862,Office of the Chairman,98996
pr0091,"Construction of 10 Storied Apartment Complex with one semi-basement at Dewanhat, Chittagong",CONSTRUCTION OF 10 STORIED APARTMENT COMPLEX WITH ONE SEMI BASEMENT AT DEWANHAT CHITTAGONG,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_99692.pdf,1,,1,1,237118580.877,D-NA,Project Director (Dewanhat),99692
pr0092,"Re-excavation, Expansion and Development of Khal for Mitigation Water logging at Chattogram City",RE EXCAVATION EXPANSION AND DEVELOPMENT OF KHAL FOR MITIGATION WATER LOGGING AT CHATTOGRAM CITY,,1,charged a tender notice,1,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,,1,0,0,224149200,Project Director(Water Logging),1002615
