tender_id,source_file,page,amendment_no,amendment_no_printed,changed_fields,changed_field_count,eligibility_changed,has_change_table,notice_text
209939,Tender Notice_PDFs/RAJUK_Tender_209939.pdf,1,1,1 Amendment / Due to Changes of Qualification Criteria (General Experience) & document selling & closing date and time has been modified Corrigendum Text : As mentioned in original tender To be replaced as (a) The minimum number of years of general experience of the Tenderer in (a) The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 10 (Ten) years in Civil Construction works. Contractor shall be 5 (Five) years in Civil Construction works.,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,
237820,Tender Notice_PDFs/RAJUK_Tender_237820.pdf,1,1,"1 Correction for quantity of Item No. 9a (Installation of Imported Part, a) Installation of ODU) of Price and Delivery Schedule of Goods",,0,no,yes,(Form e-PG3-3A)
287337,Tender Notice_PDFs/RAJUK_Tender_287337.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,For unavoidable circumstances the following changes have been made in the IFT.
427820,Tender Notice_PDFs/RAJUK_Tender_427820.pdf,1,1,1 WHO declared the Corona Virus COVID 19 is a Pandemic.,,0,no,no,"The Government of Bangladesh has taken decision for general holidays from March 26 to April 4' 2020. For this unavoidable circustances, the tender is forwarded for cancellation."
437635,Tender Notice_PDFs/RAJUK_Tender_437635.pdf,2,2,"2 Date & Time of On-line Tender Closing, Opening, Selling/Downloading e-Tender Document, Tender Security Submission",Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),6,no,yes,Deadline have been changed.
446869,Tender Notice_PDFs/RAJUK_Tender_446869.pdf,2,2,"2 As the Government has extended office closure up to 5 May/2020. Tender Opening, Selling, Closing and Performance security",Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,submission date is proposed to extend.
447380,Tender Notice_PDFs/RAJUK_Tender_447380.pdf,2,2,"2 As the Government has extended office closure up to 5 May/2020. Tender Opening, Selling, Closing and Performance security",Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,submission date is proposed to extend for the second time.
466081,Tender Notice_PDFs/RAJUK_Tender_466081.pdf,1,1,"1 Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission,",,0,no,no,"Closing, Document selling etc."
466089,Tender Notice_PDFs/RAJUK_Tender_466089.pdf,1,1,"1 Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission,",Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),6,no,yes,"Closing, Document selling etc."
466094,Tender Notice_PDFs/RAJUK_Tender_466094.pdf,1,1,"1 Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission,",,0,no,no,"Closing, Document selling etc."
466105,Tender Notice_PDFs/RAJUK_Tender_466105.pdf,1,1,1,Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),6,no,yes,"Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission, Closing, Document selling etc."
466107,Tender Notice_PDFs/RAJUK_Tender_466107.pdf,1,1,"1 Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission,",Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),6,no,yes,"Closing, Document selling etc."
466108,Tender Notice_PDFs/RAJUK_Tender_466108.pdf,1,1,"1 Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission,",,0,no,no,"Closing, Document selling etc."
466109,Tender Notice_PDFs/RAJUK_Tender_466109.pdf,1,1,"1 Due to unavoidable circumstances, Following changes are proposed as corrigendum in tender notice: Tender Opening, Submission,",,0,no,no,"Closing, Document selling etc."
502059,Tender Notice_PDFs/RAJUK_Tender_502059.pdf,2,1,1 Eligibility of Tenderer of IFT Sl No. (b) & ITT Clause 9.1 of TDS- The Tenderer shall have successfully completed SRH (China) AND OR Masiba (Malaysia) Brand Lift Servicing and Maintenance Works in 3(Three) Contracts with a Contract value of total Tk.14 (Fourteen) Lac OR 2(Two) Contracts having same brands Lift Servicing and Maintenance Works with a Contract value of total Tk.11 (Eleven) Lac OR Single Contract having,Eligibility of Consultant,1,yes,yes,same brands Lift Servicing and Maintenance Works with a Contract value of Tk.9 (Nine) Lac within last 05 ( Five) years under in Govt./ Semi Govt./ Autonomous body. The certifying authority shall be an officer not below the rank of Executive Engineer of that organization. ITT Clause 14 of TDS-j) Required Documents regarding list of personnel/staff and machineries related to this work. k) Required Documents regarding Spare parts supply assurance of SRH (China) AND Masiba (Malaysia) Brand Lift from manufacturer to maintain quality standard.
502977,Tender Notice_PDFs/RAJUK_Tender_502977.pdf,2,1,1 Eligibility of Tenderer of IFT Sl No. (b) & ITT Clause 9.1 of TDS -The Tenderer shall have successfully completed XIZI Unite (China) Brand Lift Servicing and Maintenance Works in 3(Three) Contracts with a value of total Tk.31 (Thirty one) Lac OR 2(Two) Contracts having same brand Lift Servicing and Maintenance Works with a value of total Tk.24 (Twenty four) Lac OR Single Contract having same brand Lift Servicing,Eligibility of Consultant,1,yes,yes,and Maintenance Works with a value of Tk. Tk.20 (Twenty) Lac within last 05(Five) years under in Govt./Semi Govt./Autonomous body. The certifying authority shall be an officer not below the rank of Executive Engineer of that organization. ITT Clause 14 of TDS-j) Required Documents regarding list of personnel/staff and machineries related to this work. k) Required Documents regarding Spare parts supply assurance of XIZI Unite (China) Brand Lift from manufacturer to maintain quality standard.
