tender_id,clause_no,source_file,page,source_field,printed_label,text,chars,categories,defers_to_another_document,money_taka,money_original,money_words,money_scale_words,money_reading,money_unresolved,years,contract_counts,percentages
583196,2,Tender Notice_PDFs/RAJUK_Tender_583196.pdf,1,eligibility,Eligibility of Tenderer,(a) The Tenderer having minimum 05 ( Five) years experience of Operation & Maintenance of (SUNNY Brand) Lift. ( years counting backward from the date of Publication of IFT in the Newspaper).,190,brand_model,no,,,,,,,5,,
583196,3,Tender Notice_PDFs/RAJUK_Tender_583196.pdf,1,eligibility,Eligibility of Tenderer,"(b) The Tenderer shall have successfully Completed of (SUNNY Brand) Lift Operation, Servicing and Maintenance Works of minimum amount Tk.20.00 (Twenty ) Lacs single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 25.00 Lacs only. d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2015-2016, 2016-2017 , 2017-2018, 2018-2019, 2019-2020 ) average Annual Turnover should be required minimum amount Tk.25.00 ( Twenty five) Lacs. e) Electrical ABC/BC Supervisory & Contractory License (Up to Date). f) The Tenderer must have Income Tax clearance Certificate (2019-2020). g) The Tenderer must have VAT/BIN Registration Certificate. h) The Tenderer must have valid Trade License (2020-2021) .",939,financial_turnover;financial_liquid;financial_credit;cert_trade_licence;cert_vat;cert_tin;cert_bin;cert_other;brand_model;cert_licence_class,no,2000000.00;2500000.00;2500000.00;2000000.00;2500000.00;2500000.00,Tk.20.00 (Twenty ) Lacs | Tk. 25.00 Lacs | Tk.25.00 ( Twenty five) Lacs | 20.00 (Twenty ) Lacs | 25.00 Lacs | 25.00 ( Twenty five) Lacs,Twenty |  | Twenty five | Twenty |  | Twenty five,lacs,"the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them",,5,,
583212,1,Tender Notice_PDFs/RAJUK_Tender_583212.pdf,1,eligibility,Eligibility of Tenderer,This invitation for Tender is Open to Repoted bonafied Firm/ Organization/ Manufacturer/ Authorized Agent as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document.,250,other,no,,,,,,,,,
583212,2,Tender Notice_PDFs/RAJUK_Tender_583212.pdf,1,eligibility,Eligibility of Tenderer,(a) The Tenderer having minimum 05 ( Five) years experience of Operation & Maintenance of (SUNNY Brand) Lift. ( years counting backward from the date of Publication of IFT in the Newspaper).,190,brand_model,no,,,,,,,5,,
583212,3,Tender Notice_PDFs/RAJUK_Tender_583212.pdf,1,eligibility,Eligibility of Tenderer,"(b) The Tenderer shall have successfully Completed of (SUNNY Brand) Lift Operation, Servicing and Maintenance Works of minimum amount Tk.07.00 (Seven) Lacs single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 10.00 Lacs only. d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2015-2016, 2016-2017 , 2017-2018, 2018-2019, 2019-2020 ) average Annual Turnover should be required minimum amount Tk.10.00 ( Ten) Lacs. e) Electrical ABC/BC Supervisory & Contractory License (Up to Date). f) The Tenderer must have Income Tax clearance Certificate (2019-2020). g) The Tenderer must have VAT/BIN Registration Certificate. h) The Tenderer must have valid Trade License (2020-2021)",927,financial_turnover;financial_liquid;financial_credit;cert_trade_licence;cert_vat;cert_tin;cert_bin;cert_other;brand_model;cert_licence_class,no,700000.00;1000000.00;1000000.00;700000.00;1000000.00;1000000.00,Tk.07.00 (Seven) Lacs | Tk. 10.00 Lacs | Tk.10.00 ( Ten) Lacs | 07.00 (Seven) Lacs | 10.00 Lacs | 10.00 ( Ten) Lacs,Seven |  | Ten | Seven |  | Ten,lacs,"the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them",,5,,
583276,1,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,This invitation for Tender is Open to Enlisted ( Electrical) Contractor/Supplier of RAjuk or Other Govt./ Semi Govt./ Autonomous Organization/ Reputed Bonafied Firm as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document.,309,cert_other;geographic,no,,,,,,,,,
583276,2,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,a) The Tenderer having minimum 05 ( Five) years general experience of electro--mechanical works .,97,experience_general,no,,,,,,,5,,
583276,3,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,b) The Tenderer shall have successfully Completed of 01 (One ) No Similar nature Works of minimum amount Tk.5.00 (Five) Lacs single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website.,300,experience_similar,no,500000.00;500000.00,Tk.5.00 (Five) Lacs | 5.00 (Five) Lacs,Five | Five,lacs,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,5,,
583276,4,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 6.00 (Six) Lacs only.,129,financial_liquid;financial_credit,no,600000.00;600000.00,Tk. 6.00 (Six) Lacs | 6.00 (Six) Lacs,Six | Six,lacs,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,,,
583276,5,Tender Notice_PDFs/RAJUK_Tender_583276.pdf,1,eligibility,Eligibility of Tenderer,"d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2015-2016, 2016-2017 , 2017-2018, 2018-2019, 2019-2020 ) average Annual Turnover should be required minimum amount Tk.5.00 ( Five) Lacs.",211,financial_turnover,no,500000.00;500000.00,Tk.5.00 ( Five) Lacs | 5.00 ( Five) Lacs,Five | Five,lacs,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,,,
