document_id,file,filename,folder,kind,tender_id,pages,bytes,sha256,characters,words,ruled_tables,images,script,has_text_layer,needs_ocr,second_extractor_chars,extractors_agree,duplicate_text_of,read_error,fields_read,dates_read,eligibility_chars,lots_read,beneficial_owners_read,creator,producer,pdf_created,pdf_modified,interleaved_layout_warnings,interleaved_layout_detail
RDA_Tender_322093,Tender Notice_PDFs/RDA_Tender_322093.pdf,RDA_Tender_322093.pdf,Tender Notice_PDFs,tender_notice,322093,2,93463,4e0a5aeb4789d8702edef32621e2c5a147e0a5c12d85c73a0dbe800ae143740a,5428,734,1,2,en,yes,no,5535,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110545+00'00',D:20260715110545+00'00',0,
RDA_Tender_322769,Tender Notice_PDFs/RDA_Tender_322769.pdf,RDA_Tender_322769.pdf,Tender Notice_PDFs,tender_notice,322769,2,91903,ef076e12d7a577e97260bb845093e9127d3844294f182022c4003f80d46c3a92,4345,583,1,2,en,yes,no,4444,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110544+00'00',D:20260715110544+00'00',0,
RDA_Tender_383988,Tender Notice_PDFs/RDA_Tender_383988.pdf,RDA_Tender_383988.pdf,Tender Notice_PDFs,tender_notice,383988,2,91925,0fa02898cfbefe6873ad1f054b84dcf48d94e1c1ff39f8456207755ea4095ca0,4254,591,1,2,en,yes,no,4347,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110543+00'00',D:20260715110543+00'00',0,
RDA_Tender_558181,Tender Notice_PDFs/RDA_Tender_558181.pdf,RDA_Tender_558181.pdf,Tender Notice_PDFs,tender_notice,558181,2,109106,0b43f2abf43463973c7e799c877629b99b795d90cac723801802eb57d4d93566,6471,868,2,2,en,yes,no,6604,yes,,,48,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110543+00'00',D:20260715110543+00'00',0,
RDA_Tender_591949,Tender Notice_PDFs/RDA_Tender_591949.pdf,RDA_Tender_591949.pdf,Tender Notice_PDFs,tender_notice,591949,2,108978,66f96b8847e915138addfcd3d98c8abbc9e0c37aae281247776c9004db85c35a,6404,863,2,2,en,yes,no,6534,yes,,,48,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110542+00'00',D:20260715110542+00'00',0,
RDA_Tender_595725,Tender Notice_PDFs/RDA_Tender_595725.pdf,RDA_Tender_595725.pdf,Tender Notice_PDFs,tender_notice,595725,2,91403,1e5287d8a9a5d2e078a0a5dd6aefd83a17cbc109f09f9d74881dbb21bea8f39b,3865,542,1,2,en,yes,no,3954,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110541+00'00',D:20260715110541+00'00',0,
RDA_Tender_627115,Tender Notice_PDFs/RDA_Tender_627115.pdf,RDA_Tender_627115.pdf,Tender Notice_PDFs,tender_notice,627115,2,91512,74b538f115dd5134eae9488a067c4e21ac079c257dcd4a03af06a92d3c601d99,4360,586,1,2,en,yes,no,4456,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110540+00'00',D:20260715110540+00'00',0,
RDA_Tender_627116,Tender Notice_PDFs/RDA_Tender_627116.pdf,RDA_Tender_627116.pdf,Tender Notice_PDFs,tender_notice,627116,2,91090,2feefdd3e8d1c6a78b01268bdb9d66948c0bd5c580add817e3bcb2a75df20c9a,4341,583,1,2,en,yes,no,4437,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110540+00'00',D:20260715110540+00'00',0,
RDA_Tender_638918,Tender Notice_PDFs/RDA_Tender_638918.pdf,RDA_Tender_638918.pdf,Tender Notice_PDFs,tender_notice,638918,2,91509,caef640e5f6c43bf0a3112604ec3d03432227651c5b4742bb4e72730d9d718c1,4389,591,1,2,en,yes,no,4486,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110538+00'00',D:20260715110538+00'00',0,
RDA_Tender_638921,Tender Notice_PDFs/RDA_Tender_638921.pdf,RDA_Tender_638921.pdf,Tender Notice_PDFs,tender_notice,638921,2,91056,048ff6c1663479268495605735c102c16689afb331d28bf248d77d2bf9d7b648,4365,587,1,2,en,yes,no,4462,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110539+00'00',D:20260715110539+00'00',0,
RDA_Tender_64165,Tender Notice_PDFs/RDA_Tender_64165.pdf,RDA_Tender_64165.pdf,Tender Notice_PDFs,tender_notice,64165,2,92483,47be04d06681e3bfea4b4bab712fa8c98c6eaf91e0893d7935c2c66b437df8a3,4273,605,1,2,en,yes,no,4367,yes,,,46,9,17,1,0,Chromium,Skia/PDF m149,D:20260715110551+00'00',D:20260715110551+00'00',0,
RDA_Tender_658227,Tender Notice_PDFs/RDA_Tender_658227.pdf,RDA_Tender_658227.pdf,Tender Notice_PDFs,tender_notice,658227,2,91535,0f6f9746d6f80b094f147a41f2a7c65adf5dac6ef081e8ce41b46f4a0ed997a1,3930,549,1,2,en,yes,no,4020,yes,,,46,9,13,1,0,Chromium,Skia/PDF m149,D:20260715110537+00'00',D:20260715110537+00'00',0,
RDA_Tender_672890,Tender Notice_PDFs/RDA_Tender_672890.pdf,RDA_Tender_672890.pdf,Tender Notice_PDFs,unavailable_record,672890,1,40206,efbdbe28c03f1ca472ca75bc5537cfe170db9994fd6329786037b2f8d10b7f84,135,26,0,0,en,yes,no,136,yes,Tender Notice_PDFs/CDA_Tender_1100000.pdf,,0,0,0,0,0,Chromium,Skia/PDF m149,D:20260715110550+00'00',D:20260715110550+00'00',0,
RDA_Tender_675266,Tender Notice_PDFs/RDA_Tender_675266.pdf,RDA_Tender_675266.pdf,Tender Notice_PDFs,tender_notice,675266,2,92455,cab82696d13e85680f6c46d5b2358000d2ef26728e58af449216f84d2a3660dc,4341,604,1,2,en,yes,no,4437,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110537+00'00',D:20260715110537+00'00',0,
RDA_Tender_680144,Tender Notice_PDFs/RDA_Tender_680144.pdf,RDA_Tender_680144.pdf,Tender Notice_PDFs,tender_notice,680144,2,90922,cf9eb092779362c6063f2574283fc643e270734c7902e2345232f820834f95f9,4367,588,1,2,en,yes,no,4464,yes,,,46,9,17,1,0,Chromium,Skia/PDF m149,D:20260715110536+00'00',D:20260715110536+00'00',0,
RDA_Tender_68947,Tender Notice_PDFs/RDA_Tender_68947.pdf,RDA_Tender_68947.pdf,Tender Notice_PDFs,tender_notice,68947,2,91640,520f69406c9b9ffabd7a2f2e819129e870420b242daf7ee10418ac70c59d3969,3381,482,1,2,en,yes,no,3467,yes,,,46,9,17,1,0,Chromium,Skia/PDF m149,D:20260715110551+00'00',D:20260715110551+00'00',0,
RDA_Tender_699958,Tender Notice_PDFs/RDA_Tender_699958.pdf,RDA_Tender_699958.pdf,Tender Notice_PDFs,tender_notice,699958,2,93020,4f49e6c8844568ac84dad6f83b60def065d08fc301489494b0296a723893179a,5351,706,1,2,en,yes,no,5459,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110535+00'00',D:20260715110535+00'00',0,
RDA_Tender_703479,Tender Notice_PDFs/RDA_Tender_703479.pdf,RDA_Tender_703479.pdf,Tender Notice_PDFs,tender_notice,703479,2,92368,570e5dc673cc9362f1fb8e6625441928648e9b9ec45800a4be4d8f34019f793b,4264,594,1,2,en,yes,no,4357,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110534+00'00',D:20260715110534+00'00',0,
