id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices_published,awards_published,total_contract_value_taka,districts,parent_named,notices_with_substantive_criteria,notices_without_substantive_criteria,distinct_winners,winners
og0085,Project Director(Water Logging),PROJECT DIRECTOR WATER LOGGING,,1,procuring entity,1,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,,1,0,0,Chattogram,Chittagong Development Authority,1,0,0,
og0086,Office of the Secretary,OFFICE OF THE SECRETARY,,1,procuring entity,6,Tender Notice_PDFs/CDA_Tender_1044421.pdf,1,,6,0,0,Chattogram,Chittagong Development Authority,6,0,0,
og0087,Project Director(Elevated ExpressWay),PROJECT DIRECTOR ELEVATED EXPRESSWAY,,1,procuring entity,7,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1,,7,0,0,Chattogram,Chittagong Development Authority,7,0,0,
og0088,"Ministry of Energy, Power and Minearal",MINISTRY OF ENERGY POWER AND MINEARAL,,1,ministry,1,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,,1,0,0,Comilla,,0,0,0,
og0089,Power Grid Company of Bangladesh Ltd.,POWER GRID COMPANY OF BANGLADESH LTD,,1,agency,1,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,,1,0,0,Comilla,"Ministry of Energy, Power and Minearal",0,0,0,
og0090,"Grid Maintenance Division, Comilla (PGCB)",GRID MAINTENANCE DIVISION COMILLA PGCB,,1,procuring entity,1,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,,1,0,0,Comilla,Power Grid Company of Bangladesh Ltd.,0,1,0,
og0091,Ministry of Road Transport and Bridges,MINISTRY OF ROAD TRANSPORT AND BRIDGES,,1,ministry,1,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,,1,0,0,Dinajpur,,0,0,0,
og0092,Roads & Highways Department (RHD),ROADS HIGHWAYS DEPARTMENT RHD,,1,agency,1,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,,1,0,0,Dinajpur,Ministry of Road Transport and Bridges,0,0,0,
og0093,Dinajpur Road Division,DINAJPUR ROAD DIVISION,,1,procuring entity,1,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,,1,0,0,Dinajpur,Roads & Highways Department (RHD),0,1,0,
og0094,"Ministry of Local Government, Rural",MINISTRY OF LOCAL GOVERNMENT RURAL,,1,ministry,5,Tender Notice_PDFs/CDA_Tender_42800.pdf,1,,5,0,0,Chittagong;Satkhira;Pabna;Barisal;Laksmipur,,0,0,0,
og0095,Local Government Engineering,LOCAL GOVERNMENT ENGINEERING,,1,agency,4,Tender Notice_PDFs/CDA_Tender_42800.pdf,1,,4,0,0,Chittagong;Satkhira;Pabna;Barisal,"Ministry of Local Government, Rural",0,0,0,
og0096,"Office of the Executive Engineer, LGED, Department (LGED) Chittagong",OFFICE OF THE EXECUTIVE ENGINEER LGED DEPARTMENT LGED CHITTAGONG,,1,procuring entity,1,Tender Notice_PDFs/CDA_Tender_42800.pdf,1,,1,0,0,Chittagong,Local Government Engineering,0,1,0,
og0097,Construction Division-1,CONSTRUCTION DIVISION 1,,1,procuring entity,4,Tender Notice_PDFs/CDA_Tender_507215.pdf,1,,4,0,0,Chattogram,Chittagong Development Authority,4,0,0,
og0098,Deputy Secretary,DEPUTY SECRETARY,,1,procuring entity,2,Tender Notice_PDFs/CDA_Tender_644697.pdf,1,,2,0,0,Chattogram,Chittagong Development Authority,2,0,0,
